name_SLR;name_Hunt;ra_SLR;ra_Hunt;dec_SLR;dec_Hunt;l_SLR;l_Hunt;b_SLR;b_Hunt;parallax_SLR;parallax_Hunt;pmra_SLR;pmra_Hunt;pmdec_SLR;pmdec_Hunt;nStars_SLR;n_stars_Hunt;r50_SLR;radius_50_pc_Hunt;dSun_SLR;distance_50_Hunt;X_SLR;x_Hunt;Y_SLR;y_Hunt;Z_SLR;z_Hunt;Age_SLR;log_age_50_Hunt;AV_SLR;a_v_50_Hunt;DM_SLR;distance_modulus_50_Hunt
SL004;UBC_1246;45.4864418236632;45.52002909471211;47.9575893128284;47.97422048162024;144.41368709787312;144.41177778362055;-9.396314608191677;-9.374229700160551;0.3482661876901178;0.3351277552467268;0.5208764717200753;0.501654583730368;-1.233995351788888;-1.2321978760067325;43;105;0.1436144000963353;6.139893923235976;1883.0;2648.596693110881;-1510.784165329511;-10248.197945271691;1081.0694354048026;1520.7847185329963;-307.4232938850816;-405.1663386411993;9.397940008672037;8.944292545318604;0.76;0.6340824365615845;12.01;12.060581684112549
SL969;NGC_2264;100.24119898024688;100.22706966235263;9.5660986342377;9.875436550533548;202.96210896277984;202.9466021056008;2.0999922858009983;2.1740117901252174;1.3836276277886803;1.3922087714079063;-1.636033462112914;-1.617155506856586;-3.6479712360781056;-3.644508838715841;645;224;0.2533256061150755;1.4708177443155483;306.76;700.3816032885289;-282.2635777768244;-8766.398710247342;-119.5935410566494;-272.8628286099833;11.240782808955954;49.01777520091998;10.060697840353612;6.694727897644043;0.57;0.6474920511245728;7.91;9.163004875183104
SL971;Harvard_10;244.90210632161748;244.813085646748;-55.671874110879074;-54.96574801602823;329.4352846410147;329.85919821331714;-3.87139555258376;-3.353085623727683;0.6962929999355657;1.448209446265501;0.0063749698187153;-2.0003020408044;-1.490507572834844;-10.6095074356092;18;626;0.1286669463302384;4.039600114142459;845.98;674.0253016008752;726.7733940978225;-7540.18129419359;-429.20869690419306;-337.8671865930613;-57.11819791743862;-20.11279094292949;9.397940008672037;8.048299312591553;0.43;0.2834377288818359;10.0;9.06492567062378
SL007;CWNU_2467;308.1855003189124;308.0696436650901;48.343833362056905;48.22310586423026;85.771923142698;85.69627727930579;5.063838650436431;5.019309817502824;0.3618652286308931;0.3664698230778691;-2.3690264662067;-2.4165227045668844;-4.719465021513696;-4.729210523433285;30;109;0.1636595642832024;4.65657915637944;1301.51;2565.70882999476;95.58178511235585;-7929.595583304063;1292.9018933169716;2548.662627339117;114.87861729724077;244.7897341305772;8.628388930050312;8.140479564666748;0.9;1.338057816028595;11.33;12.007189273834229
SL008;UPK_50;283.33413642435795;283.2987462116001;8.099292081053946;8.197079917410557;40.31855825801685;40.43475022877325;3.3538967547212124;3.339943757872873;0.9846734221284864;0.973052487938476;-1.3163924414198331;-1.321204789872406;-3.8218069190464847;-3.7959278668391714;71;100;0.2352408938985495;4.150002448060924;461.68;988.5206921108112;351.4090584103728;-7370.698170036507;298.2122920580245;640.0466009067795;27.009719225395948;76.46944534633727;10.041392685158225;8.215505599975586;0.1;1.316865086555481;8.41;9.945552349090576
SL009;BH_231;262.9466284900448;262.945605946519;-31.90937451362;-31.915025939883623;355.8928359857548;355.8888745764255;0.9389840265620318;0.9311724319541812;0.3421371231830404;0.3241011035685558;-0.88814769492149;-0.7845638723789006;-1.838895610507328;-1.908850223405984;18;151;0.0320714380855158;2.705361335505437;549.32;2657.1728643838937;547.835679165691;-5471.88606187692;-39.338201323028194;-190.4730735476553;9.002052529003047;57.19944160118501;9.720159303405957;7.67620587348938;1.93;4.377845764160156;10.32;12.169137477874756
SL011;UPK_537;126.4375274426544;125.645779973079;-50.80534605746104;-51.5692615650247;267.3047597164778;267.55133813777945;-7.365107812113689;-8.218724912416937;0.8992958181377457;1.6371153781606222;-4.976081060333143;-6.491897524262747;6.197749809143971;7.716398849968917;18;125;0.1522358601122396;9.351257006298695;739.76;597.1698453994372;-34.4990765986859;-8147.443902634972;-732.8449636422705;-590.4968296215263;-94.83106336004654;-64.50281490707403;9.929418925714293;7.78904914855957;0.51;0.6988749802112579;9.78;8.822198390960693
SL974;ASCC_113;317.91056457792166;317.96259566715423;38.59195680744204;38.54530468217436;82.89267468443498;82.82450624607824;-6.647997596502132;-6.66928457606451;1.7660148963378497;1.771026556150414;0.8777822627444583;0.8278125448192678;-3.7699965370651385;-3.686417947814958;36;491;0.1821392304819503;5.60485336598387;475.68;557.4186980165131;58.45936583692819;-8052.983390448777;468.8511022032318;549.3106652142449;-55.06912845468819;-44.11364445842799;8.929418925714293;8.264825344085693;0.21;0.108024314045906;8.57;8.6543607711792
SL012;OC_0024;274.98103423146074;274.1751181332133;-17.095190515454615;-16.99651562348887;14.188846554566114;13.905659559621784;-0.9912954453684067;-0.2738438910958063;0.6413383713845532;0.5899899581130034;-0.5101650244248969;0.8287059852538268;-0.89148084421103;-1.896244775266096;33;104;0.0479759943805445;2.70317631312408;690.42;1590.9917909277328;669.2572357946489;-6577.650976654707;169.20950001899874;382.34760201442793;-11.94461551604616;9.24372800774696;8.511883360978874;7.1991777420043945;1.32;2.1157515048980717;10.3;11.024813175201416
S1364;NGC_6444;267.3871456863427;267.34855995580864;-34.80383280993711;-34.8160173366043;355.39476847259;355.3763368323776;-3.752120803776405;-3.723598919566751;0.5259809393640591;0.519160941398337;-0.9991806890117222;-0.983611849500476;-0.9386144651935422;-0.937668198557543;153;228;0.1266847564289808;3.860269764101652;618.64;1783.010491046438;615.3209799312926;-6348.81946592544;-49.56409800924639;-143.42758289775338;-40.48384177574483;-99.53364393400608;9.511883360978874;8.343889713287354;0.0;1.3570778965950012;8.96;11.293473720550535
